THE PIERCING STAR SCHOOL,,,,,
CLASS 7 WEEKLY TIME TABLE,,,,,
CLASS TEACHER,MISS KINZA,,,,
PERIOD,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
1st Period,"English
Miss Kinza","English
Miss Kinza","English
Miss Kinza","English
Miss Kinza","Computer
Sir Faraz"
2nd Period,"Computer
Sir Faraz","Computer
Sir Faraz","Sindhi
Miss Komal","Sindhi
Miss Komal","Sindhi
Miss Komal"
3rd Period,"Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Math
Miss Raima"
4th Period,"Urdu
Miss Ifra","Urdu
Miss Ifra","Urdu
Miss Ifra","Urdu
Miss Ifra","Urdu
Miss Ifra"
5th Period,"SST
Miss Kinza","SST
Miss Kinza","SST
Miss Kinza","SST
Miss Kinza","Arts
Miss Mehak"
6th Period,"Science
Miss Komal","Science
Miss Komal","Science
Miss Komal","Science
Miss Komal","Science
Miss Ifra"
