THE PIERCING STAR SCHOOL,,,,,
CLASS 6 WEEKLY TIME TABLE,,,,,
CLASS TEACHER,MISS RAIMA,,,,
PERIOD,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
1st Period,"Science
Miss Komal","Science
Miss Komal","Science
Miss Komal","Sindhi
Miss Komal","Sindhi
Miss Komal"
2nd Period,"English
Miss Kinza","English
Miss Kinza","English
Miss Kinza","English
Miss Kinza","English
Miss Kinza"
3rd Period,"SST
Miss Kinza","SST
Miss Kinza","SST
Miss Kinza","SST
Miss Kinza","Arts
Miss Mehak"
4th Period,"Computer
Miss Mahnoor","Computer
Miss Mahnoor","Computer
Miss Mahnoor","Computer
Miss Mahnoor",Free
5th Period,"Maths
Miss Raima","Maths
Miss Raima","Maths
Miss Raima","Maths
Miss Raima","Maths
Miss Raima"
6th Period,"Urdu + Islamiyat
Miss Ifra","Urdu + Islamiyat
Miss Ifra","Urdu + Islamiyat
Miss Ifra","Urdu + Islamiyat
Miss Ifra","Urdu + Islamiyat
Miss Ifra"
