THE PIERCING STAR SCHOOL,,,,,
CLASS 8 WEEKLY TIME TABLE,,,,,
CLASS TEACHER,MISS RAIMA,,,,
PERIOD,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
1st Period,"Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Lab
Sir Faraz"
2nd Period,"Islamiyat
Miss Ifrah","Science
Miss Mahnoor","Computer
Sir Faraz","Computer
Sir Faraz","Computer
Sir Faraz"
3rd Period,"Sindhi
Miss Komal","Sindhi
Miss Komal","Sindhi
Miss Komal","Science
Miss Mahnoor","Science
Miss Mahnoor"
4th Period,"SST
Miss Raima","SST
Miss Raima","SST
Miss Raima","SST
Miss Raima","SST
Miss Raima"
5th Period,"Urdu
Miss Ifrah","Urdu
Miss Ifrah","Urdu
Miss Ifrah","Urdu
Miss Ifrah","Urdu
Miss Ifrah"
6th Period,"English
Miss Kinza","English
Miss Kinza","English
Miss Kinza","English
Miss Kinza","English
Miss Kinza"
